Company,Address,Phone,Fax,Email,Website,Contact person,Turnover  
3M E.C.C. Europa BV,Amsterdamseweg 61  3812 RR Amersfoort ,+31 334221100,+31 334221101,innovation@nl.mmm.com,,Mr. E. Eyck,"146,858,510 EUR"
3M Nederland BV,Industrieweg 24  2382 NW Zoeterwoude ,+31 715450450,+31 715450212,innovation.nl@mmm.com,http://www.3m.nl,Mr. R. Schokker,"146,858,510 EUR"
A. de Jong BV,'s-Gravelandseweg 390  3125 BK Schiedam ,+31 104469222,+31 104154581,hq@dejong.nl,http://www.dejong.nl,Mr. A. de Jong,"45,866,568 EUR"
A. Hak Noord-Oost B.V.,Pascalweg 2  8013 RC Zwolle ,+31 384672790,+31 384672791,info@a-hak.nl,http://www.a-hak.nl,Mr. T. Dijkstra,"23,183,550 EUR"
A. Timmerman's IJzerhandel BV,Kamerlingh Onnesstraat 2  1821 BP Alkmaar ,+31 725118611,+31 725152663,info@timmermanijzerhandel.nl,http://www.timmerman-alkmaar.nl,Mr. D.P. Timmerman,"7,421,309 EUR"
A. Vledder Technische Producten BV,Utrechtseweg 70  6812 AH Arnhem ,+31 263262920,+31 263251316,,http://www.vledder.nl,Mr. P.N.H.C. Clerkx,"5,136,000 EUR"
A.C. de Jong en Zoon BV,Kon Wilhelminahaven NZ 10  3134 KE Vlaardingen ,+31 104356444,+31 104359780,info@djgroup.nl,http://www.djgroup.nl,Mr. R.E. de Jong,"13,182,000 EUR"
A.C. Loogman & Zonen BV,Jan van Galenstraat 4 PIERNO  1051 KM Amsterdam ,+31 206823573,+31 206823560,loogman@acloogman.nl,http://www.acloogman.nl,Mr. A.C. Loogman,"18,330,298 EUR"
A.O. Smith Water Products Company BV,De Run 5305  5503 LW Veldhoven ,+31 402942500,+31 402942539,info@aosmith.nl,http://www.aosmith.nl,Mr. T. van der Hamsfoort,"13,653,000 EUR"
A.V.C. Nederland BV,Rijksweg 79  1411 GE Naarden ,+31 356954755,+31 356954720,info@mccnederland.nl,http://www.mccnederland.nl,Mr. H.W. Lamers,"957,627,000 EUR"
A.Z. Hollink BV,Laan van de Ram 49  7324 BW Apeldoorn ,+31 881200300,+31 881200399,nederland@azhollink.eu,http://www.az-aandrijftechniek.nl,Mr. D.P.V. Spillebeen,"9,075,600 EUR"
Aako BV,Arnhemseweg 87  3832 GK Leusden ,+31 334948494,+31 334948044,info@aako.nl,http://www.aako.nl,Mr. H.J. van Zuuk,"40,758,183 EUR"
Aannemersbedrijf De Leeuw BV,Witte Paal 336  1742 LE Schagen ,+31 224591941,+31 224591266,,http://www.deleeuwbv.nl,Mr. K. de Leeuw,"7,595,356 EUR"
Aarding Thermal Acoustics BV,Industrieweg 59  8071 CS Nunspeet ,+31 341252635,+31 341262112,m.pranger@ata-bv.com,http://www.ata-bv.com,Mr. W.M. Pranger,"19,936,785 EUR"
Aarhuskarlshamn Netherlands BV,Kreeftstraat 1  1544 CK Zaandijk ,+31 756278400,+31 756278470,,http://www.aak.com,Mr. M. Bense,"42,393,000 EUR"
Aarts Conserven BV,Houthuizerweg 20  5973 RG Lottum ,+31 773661404,+31 773661440,aarts@aartsconserven.nl,http://www.aartsconserven.nl,Mr. J.G.L.M. Kessels,"10,800,000 EUR"
Aartsenfruit Breda BV,Heilaar-Noordweg 9  4814 RR Breda ,+31 765248100,+31 765221247,info@aartsenfruit.nl,http://www.aartsenfruit.nl,Mr. J.J.P. Aartsen,"136,355,545 EUR"
ABB BV,George Hintzenweg 81  3068 AX Rotterdam ,+31 104078911,+31 104078452,info@nl.abb.com,http://www.abb.com,Mr. A.A.A. Goos,"284,444,000 EUR"
ABB Lummus Global B.V.,"Oostduinlaan 75  2596 JJ Gravenhage,'s- ",+31 703732010,+31 703732750,corrie.zoetekouw@nl.abb.com,http://www.abb.com/lummus,Mr. G.B.J. Koeleman,"578,700,000 EUR"
Abraham van Stolk & Zoonen Houthandel BV,Graanweg 23  4782 PP Moerdijk ,+31 168388470,+31 168388479,info@stolkinternatio.nl,http://www.stolkinternatio.nl,Mr. D. Evertse,"15,590,000 EUR"
Acal BFI Netherlands BV,Luchthavenweg 53  5657 EA Eindhoven ,+31 653142525,+31 402510255,sales@acaltechnology.nl,http://www.bfioptilas.nl,Mr. P.J.A.A. Rovers,"15,428,000 EUR"
Acatris Netherlands BV,Rontgenweg 6  3752 LJ Bunschoten-Spakenburg ,+31 332982034,+31 332986827,info@nl.acratris.com,http://www.acatris.com,Mr. E. van de Hoek,"10,500,000 EUR"
Acco Brands Benelux B.V.,Holtum Noordweg 7  6121 RE Born ,+31 464818810,+31 464818898,info.benelux@acco.com,http://www.accoeurope.com,Mr. G.M.J. Kooij,"123,129,000 EUR"
Acket Drukkerij- Kartonnage BV,Gasstraat-oost 13  5349 AH Oss ,+31 412699799,+31 412699700,info@acket.nl,http://www.acket.nl,Mr. V.J.H.M. Acket,"24,000,000 EUR"
Activision Blizzard Benelux BV,Beechavenue 131 D  1119 RB Schiphol Rijk ,+31 207157700,+31 207157701,info@contactdata.nl,http://www.activisionblizzard.com,Mrs. M. Rouhof,"75,490,567 EUR"
AD Benelux B.V.,Rederijweg 41  4906 CX Oosterhout Nb ,+31 162497497,+31 162497444,info@autodistribution.nl,http://www.adbenelux.com,Mr. H.J.M.K. Kromhout,"73,000,000 EUR"
Addcomp Holland B.V.,Rudolf Dieselstraat 8  7442 DR Nijverdal ,+31 548620403,+31 548620369,info@addcomp.nl,http://www.addcomp.nl,Mr. G.J. Tijhuis,"26,000,000 EUR"
Adelco Electronics BV,Venkelbaan 82  2908 KE Capelle a.d. IJssel ,+31 102580580,+31 102580588,info@adelco.nl,http://www.adelco.nl,  ,"6,200,000 EUR"
ADM Cocoa BV,Stationsstraat 76  1541 LJ Koog a.d. Zaan ,+31 756464646,+31 756288751,admcocoa-koog@adm.com,http://www.adm.com,Mr. K.S. Walker,"35,000,000 EUR"
Adomex International BV,Randweg 119 A  1422 ND Uithoorn ,+31 297381180,+31 297381185,office@adomex.nl,http://www.adomex.nl,Mr. M.J.M. Campman,"75,000,000 EUR"
Adr. van der Voort BV,Bovendijk 41  2295 RV Kwintsheul ,+31 174291500,+31 174297492,info@avdvoort.nl,http://www.avdvoort.nl,Mr. F.E. Groot,"39,000,000 EUR"
Adri en Zoon Schaal- en Schelpdierenhandel BV,Krab 17  4401 PA Yerseke ,+31 113572087,+31 113573797,info@adrimossel.nl,http://www.adrimossel.nl,Mr. A. Bruijnooge,"30,937,317 EUR"
Adriaanse Import & Export BV,Adriaan Mulderweg 9 -11  5657 EM Eindhoven ,+31 402501111,+31 402570006,info@adriaanse.biz,http://www.adriaanse.biz,Mrs. D. Adriaanse,"128,000,000 EUR"
Ads Propulsion BV,Avelingen-West 30  4202 MS Gorinchem ,+31 183650000,+31 183650001,info@vanstigt.com,http://www.vanstigt.com,Mr. W. Korevaar,"9,407,019 EUR"
ADS-Anker Data Systems BV,Larikslaan 8  3833 AM Leusden ,+31 334341400,+31 334341401,info@nl.anker-systems.com,http://www.anker-systems.nl,Mr. Th. Hendriksen,"29,726,000 EUR"
Aerocarto BV,Het Rietveld 59 A  7321 CT Apeldoorn ,+31 555815999,+31 555815570,info@klmaerocarto.nl,http://www.klmaerocarto.com,Mr. R.H.J. Mooren,"2,017,400,000 EUR"
Aeronamic BV,Planthofsweg 79  7601 PJ Almelo ,+31 546545570,+31 546828787,info@aeronamic.com,http://www.aeronamic.com,Mr. S. de Vries,"20,000,000 EUR"
Aerzen Nederland BV,Fotograaf 3  6921 RR Duiven ,+31 263112641,+31 263117369,verkoop@aerzen.nl,http://www.aerzen.nl,Mr. J.M.S. van Espen,"9,081,761 EUR"
Aesculaap BV,Mijlstraat 35  5281 LJ Boxtel ,+31 411675915,+31 411685855,secretariaat@aesculaap.nl,http://www.aesculaap.nl,Mr. J.W. Masman,"22,000,000 EUR"
Afbouwcenter Nederland BV,"De Beverspijken 20 C  5221 ED Hertogenbosch,'s- ",+31 736395060,+31 736314381,info@mobouw.jajo.com,http://www.mobouw.nl,Mr. R. Philipse,"357,576,000 EUR"
Ag-Chem Europe Industrial Equipment BV,Horsterweg 66 A  5971 NG Grubbenvorst ,+31 773278400,+31 773270202,,http://www.agchemeurope.com,Mr. A. Kunst,"33,613,000 EUR"
AGC Eijkelkamp BV,Enterseweg 15  7471 SB Goor ,+31 547286868,+31 547272263,eijkelkamp@eu.agc.com,http://www.agc-flatglass.com,Mr. N. van Steden,"139,088,000 EUR"
AGC Krug Portegies BV,Zijtocht 1  1507 CD Zaandam ,+31 756504140,+31 756504742,krugportegies@eu.agc-flatglass.com,http://www.krugportegies.nl,Mr. E.P.A. Neirynck,"127,651,000 EUR"
AGC Westland BV,Aartsdijkweg 23  2676 LE Maasdijk ,+31 174531200,+31 174531200,westland@eu.agc.com,http://www.agc-westland.nl,Mr. R. van Dijk,"139,088,000 EUR"
