Name / Nom,Strasse / Rue,Plz / NAP,Ort / Lieu,Kanton / Canton,Name / Nom,Vorname / Prénom
Finsterer Consulting,Müseliweg 2,8049,Zürich,ZH,Finsterer,Robert
"traumkörper.ch, Christina Peter",Melchrütistrasse 53,8304,Wallisellen,ZH,Peter,Christina
"Ming Kee Takeaway, Inhaber Lai",Uitikonerstrasse 9,8952,Schlieren,ZH,Lai,Kwok Ming
Andric Starfit Sport Center,Ackerstrasse 152d,8604,Volketswil,ZH,Andric,Robert
Maler A. Laurito,Gewerbestrasse 24,8800,Thalwil,ZH,Laurito,Antonio
"Wolfsspuren, von Ow",Seuzachstrasse 42,8413,Neftenbach,ZH,von Ow,Karin
"Hairfashion Andrea, Inhaberin Caponi Heusser",Im Tobel 17,8706,Meilen,ZH,Caponi,Yvonne
HBN International Edith Suter-Bernet,Obere Fischbachstrasse 4,8932,Mettmenstetten,ZH,Suter,Edith Lina
AL Ani Backwaren,Stiglenstrasse 59,8052,Zürich,ZH,Al Ani,Haydar
Enter Travel Angün,Herbstweg 40,8050,Zürich,ZH,Angün,Numan
L4you Yüksel,Hohenstieglen 12,8152,Glattbrugg,ZH,Yüksel,Deniz
"Southside Tattoo, Andracchio",Leimbachstrasse 100,8041,Zürich,ZH,Andracchio,Ivan
Susanne Rehmann,Bühlhaldenstrasse 1,8606,Nänikon,ZH,Rehmann,Susanne
Nähservice Ioana Popa,In der Fadmatt 19,8902,Urdorf,ZH,Popa,Ioana Mihaela
Fegola Automobile,Weiacherstrasse 80,8427,Rorbas,ZH,Fegola,Gerardo
Ardi Herren Coiffeur Lleshaj,Bahnhofstrasse 8,8610,Uster,ZH,Lleshaj,Gasper
"Hans-Jürg Mauch, Umbauten, Renovationen und Kundenmauern",Frohheimstrasse 11,8304,Wallisellen,ZH,Mauch,Hans-Jürg
Fabians Gartenpflege Oezdemir,Zürcherstrasse 25,8107,Buchs,ZH,Oezdemir,Fabian
Service & Transporte Kadriu,Glanzenbergstrasse 18,8953,Dietikon,ZH,Kadriu,Dibrane
Marques de Oliveira,Bahnhofstrasse 231,8623,Wetzikon,ZH,Marques de Oliveira,Paulo Jorge
"roxas.ch, Inhaber G. Roxas",Altburgstrasse 17,8105,Regensdorf,ZH,Roxas,Gerardo
fjö Fabienne Ruffieux,Asylweg 22,8134,Adliswil,ZH,Schtalheim,Uri
Autoklinik Zürich Heredia Triguero,Kanzleistrasse 127,8004,Zürich,ZH,Heredia Triguero,Estanislao
