COMPANY,FSC_CODE,COUNTRY,CONTINENT,ADDRESS,CONT_PER,TELEPHONE,FAX,EMAIL,WEBSITE,ISSUDATE,EXPDATE,PRODUCTS
Marianne Frey-Ammon Holz und Holzprodukte,SGS-COC-0730,Austria,Europe,"Am Bahnhof, A-2041 Hetzmannsdorf,",Ms M. Frey-Ammon & Mr. W. Zeillner,+ 43 2951 8371,+ 43 2951 8371 19,,,29.06.01,29.06.06,"Trading with roundwood, sawnwood and wood products."
Funder Industrie Gesellschaft m.b.H,SQS-COC-100004,Austria,Europe,Klagenfurtstrasse 87 - 89 AT-9300 St. Veit/Glan,Mr. Alexander ADAM,+43 42 12 494 434,+43 42 12 494 477,alexander.adam@funder.at ,www.funder.at,12.08.04,11.08.09,Faserplatten
Henrich Sachs KG,SW-COC-497,Austria,Europe,"Koh-I-Noor Platz 1 Hirm, A-7024",Mr. Alexander Hromatka,+ 43 2687 5424 567,+ 43 2687 5424 549,hromatka@cretacolor.com ,,04.01.01,31.03.06,Pencils(graphite); Crayons(coloring)
Neusiedler AG Competence Center Sales and Competence Center Marketing,SGS-COC-0639,Austria,Europe,"A-3363 Ulmerfeld-Hausmening Kelsenstrasse 7, A-1031 Vienna, Austria.",Marcus Schinerl,+ 43 7475 5002 122,+ 43 7475 5007 42122,,,14.03.01,13.06.06,"Manufacture of office communication paper containing at least 30% certified fibre.Hausmening and Kematen Sites. SCOPE: Purchase of pulp, manufacture and sale of office communication paper containing at least 30% certified fibre. Einkauf von Zellstoff, Herstellung und Verkauf von Bürokommunikations – Papieren mit mindestens 30% zertifizierter Faser."
Holzindustrie Pfeifer GmbH & Co. KG,SCS-COC-00373,Austria,Europe,"Brennbichl 103, A-6460 Imst",Ing. Franz Held,"+ 43 5412 6198 20, Mob: +43/664/1256073",+ 43 5412 6198 24,franz.held@holz-pfeifer.com ,www.holz-pfeifer.com,01.11.01,01.11.06,"Sawnwood, Laminated Panels, Laminated Beams, Floorboards, Timber Formwork and Casings"
Johann Offner Werkzeugindustrie Ges.m.b.H.,SGS-COC-0727,Austria,Europe,"Schwemmtratten 7A-9400 Wolfsberg,",Mr Andreas Röcker,+ 43 4352 2731 122,+ 43 4352 2731 179,roecker@offner.at ,,07.06.01,07.06.06,Tools for the garden sector
Otto Martin KG,SCS-COC-00401,Austria,Europe,Holzimport-Export Kuechlerstr. 21 A-6800 Feldkirch - Altenstadt,Otto Maldoner,+ 43 5522 7037 2,+43 5522 7037 25,otto.maldoner@martin-holz.at ,,02.01.02,02.01.07,Laminated Battens and Scantlings
Kaindl Flooring Ges m.b.H/M Kaindl Holzindustrie,SGS-COC-0887,Austria,Europe,"Walser Weg 12, A-5071 Wals/Salzburg","Mr Duernberger, Mr Edlinger",+ 43 662 8588 3300,+ 43 662 8513 31,gduernberger@kaindl.com ,,14.01.02,14.01.07,manufacture of pre-finished and finished products from fibre and chip boards containing a minimum of 30% certified fibre.
Holzwerk Karl Soukup Ges.m.b.H.,SGS-COC-0958,Austria,Europe,"Rechte Bahnzeile 5, A-3494 Gedersdorf",Mr G. Schätz,+ 43 2735 8277,+43 2735 8277 20,welcome@hws.at ,,06.03.02,06.03.07,Veneer
Holzindustrie Leitinger GmbH,SGS-COC-1139,Austria,Europe,A-8551 Wernersdorf 57,Mr. V. Pichler,43 3185 86 2316,43 3185 86 2315,holz@leitinger.at ,,25.10.02,25.10.07,"manufacture of system flooring, profile boards, solid edge glued panels and solid wood furniture"
J.C.BAWART & SOEHNE GMBH & CO.,SCS-COC-00521,Austria,Europe,LINDENWEG 12 A-6832 SULZ,Mr. Christoph Bawart,43 (0)5522-44307,43 (0)5522-44307 21,bawart@bawart.at ,www.bawart.at,02.04.03,02.04.08,"Parquet, flooring, moulding"
Gugler Print & Media,GFA-COC-1087,Austria,Europe,"Pielach 101, 3390 Melk",Jörn-Henrik Stein,+43 (0) 2752 - 50050-53,+43 (0) 2752 - 500050-72-53,stein@gugler.at ,www.gugler.at,15.06.02,26.03.06,"Books, brochures, kalendars, periodic appearing printings, mercantilistic printings, advertising printings"
Seyringer Holzwaren GmbH,GFA-COC-1115,Austria,Europe,Stötten 3;4851 Gampern,Mr. Seyringer,+43-7682 8010,+43-7682 801020,office@seyringer.at ,,23.10.03,22.10.08,"Mouldings, dowels, turned parts, solid wood elements"
Hörtnagl Werkzeuge GmbH,SCS-COC-00606,Austria,Europe,"Industriegebiet Medraz B9 A-6166 Fulpmes, Austria",0043 (0)5225-62217,0043 (0)5225-62081,hoertnagl@hoertnagl-werkzeuge.at ,www.hoertnagl-werkzeuge.at,,01.06.04,31.05.09,Producer of tools (mainly trowels)
Wibeba-Holz Ges.m.b.H.,GFA-COC-1145,Austria,Europe,"Wienerstraße 30a, 3250 Wieselburg",Mr Sunk,-7988,-7985,office@wibeba-holz.com ,,28.06.04,27.06.09,"Roundwood, hardwood sawn timber"
Lignum B. u. T. Trade Handels GmbH,SGS-COC-0821,Austria,Europe,"Flughafen Strasse 14, A-9020 Klagenfurt",Mr. Ernest Beck,0043 463 440012,0043 463 440051,ernst.beck@hammock-brasil.com ,www.hammock-brasil.com,24.10.01,23.10.06,Trading with hammocks and Garden furniture
Fritz Egger GmbH & Co.,GFA-COC-1072,Austria,Europe,"Weiberndorf 20, 6380 St.Johann",Mr Ingo Schmelzer,+43 50 60010624,+43 50 60090624,ingo.schmelzer@egger.com ,,16.07.02,15.07.07,Particle Board
GASPO Sportartikel- und Gartenmöbel Gesellschaft mbH,GFA-COC-1146,Austria,Europe,"Peiskam 6, 4694 Ohlsdorf",Mr Gattinger,-54861,-54881,c.gattinger@GASPO.at ,,09.07.04,08.07.09,"Garden furniture, garden decorations, Garden sheds/pavilions, wooden toys, fence systems, dustbin disguise, fitness equipment, saunas, infrared heat cabins, animal care products"
tilo GmbH,GFA-COC-1152,Austria,Europe,"Magetsham 19, 4923 Lohnsburg",Mr Mur,-8111,-8251,h.mur@tilo.com ,www.tilo.com,06.07.04,05.07.09,"Mouldings, solid and veneered"
Sägewerk Karl Riedler,GFA-COC-1148,Austria,Europe,"Laudachtal 13, A-4816 Gschandt",Mr Riedler,+43 07612 63697 0,+43 07612 63697 4,riedler.karl@aon.at ,,28.06.04,27.06.09,"Mouldings and semi finished products, softwood sawn timber"
Josef Moser Ges.m.b.H. & Co. KG,GFA-COC-1143,Austria,Europe,"3662 Münichreith 6, Austria",Mr. Josef Moser Jun.,+43 7413 6106-1,+ 43 7413 6106-4,moser-holz@aon.at ,,08.04.04,07.04.09,Hardwood sawn timber
EDP Egger - Do it yourself - Products GesmbH,GFA-COC-1074,Austria,Europe,"Weiberndorf 20, 6380 St.Johann",Mr Ingo Schmelzer,+43 50 60010624,+43 50 60090624,ingo.schmelzer@egger.com ,,16.07.02,15.07.07,Trade with wood based panel products
Ernst Doppler & Co. Ges.m.b.H.,GFA-COC-1132,Austria,Europe,Schloßstraße 24,Mr. Forthuber,+43-7722 63205,+43-7722 66918,herbert.forthuber@dopplerschirme.com ,,06.02.04,05.02.09,Umbrellas and garden furniture
